[2023-01-19 21:58:41,090][root.<module>():36] [INFO] 开发模式，启用Swagger路由......
[2023-01-19 21:58:42,344][root.<module>():36] [INFO] 开发模式，启用Swagger路由......
[2023-01-19 22:00:28,379][root.<module>():36] [INFO] 开发模式，启用Swagger路由......
[2023-01-19 22:01:52,141][django.utils.autoreload.run_with_reloader():637] [INFO] Watching for file changes with StatReloader
[2023-01-19 22:01:52,346][root.<module>():36] [INFO] 开发模式，启用Swagger路由......
[2023-01-19 22:02:02,456][django.request.log_response():224] [WARNING] Not Found: /
[2023-01-19 22:02:02,456][django.server.log_message():161] [WARNING] "GET / HTTP/1.1" 404 13247
[2023-01-19 22:02:02,480][django.server.log_message():161] [INFO] "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 200 12378
[2023-01-19 22:02:02,483][django.server.log_message():161] [INFO] "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 200 13404
[2023-01-19 22:02:02,525][django.server.log_message():161] [INFO] "GET /static/debug_toolbar/css/print.css HTTP/1.1" 200 43
[2023-01-19 22:02:02,545][django.server.log_message():161] [INFO] "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 200 4527
[2023-01-19 22:02:02,747][django.request.log_response():224] [WARNING] Not Found: /favicon.ico
[2023-01-19 22:02:02,747][django.server.log_message():161] [WARNING] "GET /favicon.ico HTTP/1.1" 404 13309
[2023-01-19 22:02:06,392][django.server.log_message():161] [INFO] "GET /admin/ HTTP/1.1" 302 0
[2023-01-19 22:02:06,429][django.server.log_message():161] [INFO] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 12282
[2023-01-19 22:02:06,451][django.server.log_message():161] [INFO] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2271
[2023-01-19 22:02:06,452][django.server.log_message():161] [INFO] "GET /static/admin/css/base.css HTTP/1.1" 200 19513
[2023-01-19 22:02:06,453][django.server.log_message():161] [INFO] "GET /static/admin/css/responsive.css HTTP/1.1" 200 18545
[2023-01-19 22:02:06,454][django.server.log_message():161] [INFO] "GET /static/admin/css/login.css HTTP/1.1" 200 939
[2023-01-19 22:02:06,465][django.server.log_message():161] [INFO] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 1360
[2023-01-19 22:02:06,469][django.server.log_message():161] [INFO] "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
[2023-01-19 22:02:06,542][django.server.log_message():161] [INFO] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
[2023-01-19 22:02:06,556][django.server.log_message():161] [INFO] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
[2023-01-19 22:02:08,626][django.server.log_message():161] [INFO] "POST /admin/login/?next=/admin/ HTTP/1.1" 200 12412
[2023-01-19 22:02:08,722][django.server.log_message():161] [INFO] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
[2023-01-19 22:02:13,047][django.server.log_message():161] [INFO] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[2023-01-19 22:02:13,131][django.server.log_message():161] [INFO] "GET /admin/ HTTP/1.1" 200 17333
[2023-01-19 22:02:13,143][django.server.log_message():161] [INFO] "GET /static/admin/css/dashboard.css HTTP/1.1" 200 380
[2023-01-19 22:02:13,162][django.server.log_message():161] [INFO] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[2023-01-19 22:02:13,163][django.server.log_message():161] [INFO] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[2023-01-19 22:04:06,523][root.<module>():36] [INFO] 开发模式，启用Swagger路由......
[2023-01-19 22:04:08,009][root.<module>():36] [INFO] 开发模式，启用Swagger路由......
[2023-01-19 22:04:18,045][root.<module>():36] [INFO] 开发模式，启用Swagger路由......
